fecha	dds	variedad	sistema	rendimiento	NDVI	CIGREEN	CVI	EVI 	GNDVI	LCI	MCARI	RECL	SAVI
17/07/2023	116	Esperanza	Cordel	8360	0.771	3.927	3.018	0.61	0.657	0.466	0.484	7.279	0.559
17/07/2023	116	Esperanza	Cordel	8895	0.873	5.981	3.198	0.755	0.744	0.61	0.608	14.44	0.657
17/07/2023	116	Esperanza	Cordel	9393	0.857	5.887	3.485	0.711	0.74	0.594	0.535	12.864	0.631
17/07/2023	116	Esperanza	Cordel	9192	0.821	4.872	3.255	0.673	0.704	0.552	0.473	9.842	0.602
17/07/2023	116	Esperanza	Cordel	7800	0.837	5.307	3.408	0.683	0.721	0.574	0.484	10.96	0.612
4/07/2023	103	Capirona	Tradicional	6474	0.862	5.184	2.776	0.738	0.715	0.536	0.866	13.018	0.656
4/07/2023	103	Capirona	Tradicional	6867	0.896	6.671	3.121	0.832	0.762	0.61	0.978	18.151	0.721
4/07/2023	103	Capirona	Cordel	6539	0.887	6.112	2.919	0.936	0.747	0.588	1.234	16.533	0.786
4/07/2023	103	Capirona	Cordel	7959	0.897	6.349	2.825	0.85	0.753	0.615	0.998	18.486	0.73
4/07/2023	103	Capirona	Cordel	7090	0.913	7.165	2.911	0.909	0.776	0.637	1.168	22.178	0.77
4/07/2023	103	Capirona	Cordel	7972	0.901	6.792	2.987	0.896	0.765	0.595	1.307	19.648	0.765
4/07/2023	103	Conquista_certificada	Tradicional	8371	0.872	5.409	2.745	0.77	0.724	0.584	0.767	14.119	0.677
4/07/2023	103	Conquista_certificada	Tradicional	8146	0.892	7.101	3.642	1.018	0.775	0.623	1.219	17.226	0.838
4/07/2023	103	Conquista_certificada	Tradicional	9278	0.898	7.017	3.374	0.855	0.772	0.646	0.807	18.281	0.736
4/07/2023	103	Conquista_certificada	Tradicional	6927	0.904	7.663	3.654	0.863	0.788	0.665	0.786	19.757	0.743
4/07/2023	103	Conquista_certificada	Tradicional	8253	0.894	6.918	3.401	0.843	0.77	0.642	0.783	17.609	0.73
4/07/2023	103	Conquista_certificada	Tradicional	7049	0.856	5.246	2.938	0.767	0.716	0.566	0.744	12.473	0.668
4/07/2023	103	Conquista_registrada	Cordel	8259	0.886	6.692	3.396	0.67	0.762	0.635	0.526	16.679	0.607
4/07/2023	103	Conquista_registrada	Cordel	5434	0.905	7.716	3.579	0.801	0.787	0.67	0.698	20.609	0.694
4/07/2023	103	Conquista_registrada	Cordel	6647	0.905	8.016	3.778	0.809	0.793	0.676	0.666	20.888	0.7
4/07/2023	103	Conquista_registrada	Cordel	5564	0.893	7.375	3.727	0.773	0.779	0.658	0.629	18.354	0.674
4/07/2023	103	Conquista_registrada	Cordel	8031	0.905	7.384	3.312	0.585	0.78	0.64	0.531	20.438	0.547
4/07/2023	103	Conquista_registrada	Cordel	5522	0.908	7.675	3.455	0.692	0.786	0.656	0.628	21.038	0.625
4/07/2023	103	Esperanza	Cordel	6500	0.872	5.96	3.176	0.738	0.741	0.574	0.805	14.637	0.657
4/07/2023	103	Esperanza	Cordel	8360	0.88	6.179	3.164	0.777	0.748	0.592	0.844	15.587	0.686
4/07/2023	103	Esperanza	Cordel	8895	0.919	8.687	3.806	0.821	0.808	0.695	0.732	24.075	0.711
4/07/2023	103	Esperanza	Cordel	9393	0.915	8.604	3.952	0.84	0.806	0.682	0.794	22.759	0.726
4/07/2023	103	Esperanza	Cordel	9192	0.878	6.486	3.5	0.778	0.759	0.625	0.676	15.418	0.678
4/07/2023	103	Esperanza	Cordel	7800	0.879	6.428	3.457	0.759	0.758	0.627	0.637	15.348	0.662
19/06/2023	88	Capirona	Tradicional	6474	0.946	8.656	2.466	0.7	0.806	0.685	1.056	37.802	0.636
